State,Population (Millions)
Alabama,5.16
Alaska,0.74
Arizona,7.58
Arkansas,3.09
California,39.43
Colorado,5.96
Connecticut,3.68
Delaware,1.05
Florida,23.37
Georgia,11.18
Hawaii,1.45
Idaho,2.00
Illinois,12.71
Indiana,6.92
Iowa,3.24
Kansas,2.97
Kentucky,4.59
Louisiana,4.60
Maine,1.41
Maryland,6.26
Massachusetts,7.14
Michigan,10.14
Minnesota,5.79
Mississippi,2.94
Missouri,6.25
Montana,1.14
Nebraska,2.01
Nevada,3.27
New Hampshire,1.41
New Jersey,9.50
New Mexico,2.13
New York,19.87
North Carolina,11.05
North Dakota,0.80
Ohio,11.88
Oklahoma,4.10
Oregon,4.27
Pennsylvania,13.08
Rhode Island,1.11
South Carolina,5.48
South Dakota,0.92
Tennessee,7.23
Texas,31.29
Utah,3.50
Vermont,0.65
Virginia,8.81
Washington,7.96
West Virginia,1.77
Wisconsin,5.96
Wyoming,0.59