year_and_month,CDC,FDA,ICM,ISU,MIT,NCBI,UF,UTMDA,WRAIR,WS
2009-01,5,0,0,0,0,0,0,0,0,0
2009-02,2,2,0,0,0,0,0,0,0,0
2009-03,2,0,0,0,0,0,0,0,0,0
2009-04,4,4,0,0,0,0,0,0,0,0
2009-05,8,0,0,0,0,0,0,0,0,0
2009-06,17,8,0,0,0,0,0,0,0,0
2009-07,14,1,0,0,0,0,0,0,0,0
2009-08,9,2,0,0,0,0,0,0,0,0
2009-09,13,14,0,0,0,0,0,0,0,0
2009-10,5,48,0,0,0,0,0,0,0,0
2009-11,6,25,0,0,0,0,0,0,0,0
2009-12,4,29,0,0,0,1,0,0,0,0
2010-01,4,0,0,0,0,0,0,0,0,0
2010-02,1,34,0,0,0,0,0,0,0,0
2010-03,3,36,0,0,0,0,0,0,0,0
2010-04,29,10,0,0,0,0,0,0,0,0
2010-05,3,12,0,0,0,0,0,0,0,0
2010-06,13,35,0,0,0,0,0,0,0,0
2010-07,18,5,0,0,0,0,0,0,0,0
2010-08,13,5,0,0,0,0,0,0,0,0
2010-09,10,2,0,0,0,0,0,0,0,0
2010-10,8,4,0,0,0,0,0,0,0,0
2010-11,7,0,0,0,0,0,0,0,0,0
2010-12,4,2,0,0,0,0,0,0,0,1
2011-01,4,12,0,0,0,0,0,0,0,0
2011-02,4,4,0,0,0,0,0,0,0,0
2011-03,10,2,0,0,0,0,0,0,0,1
2011-04,8,6,0,0,0,0,0,0,0,0
2011-05,8,8,0,0,0,0,0,0,0,0
2011-06,13,38,0,0,0,0,0,0,0,0
2011-07,26,56,0,0,0,0,6,0,0,0
2011-08,16,13,0,0,0,0,0,0,0,0
2011-09,4,4,0,0,0,0,0,0,0,0
2011-10,9,4,0,0,0,0,0,0,0,0
2011-11,11,2,0,0,0,0,0,0,0,2
2011-12,9,103,0,0,0,1,0,0,0,0
2012-01,8,87,0,0,0,0,0,0,0,0
2012-02,3,13,0,0,0,0,0,0,0,0
2012-03,5,28,0,0,0,0,0,0,0,0
2012-04,16,10,0,0,0,0,0,0,0,0
2012-05,24,103,0,0,0,0,0,0,0,0
2012-06,6,10,0,0,0,56,0,0,0,0
2012-07,25,8,0,0,0,0,0,0,0,0
2012-08,45,19,0,0,0,0,0,0,0,0
2012-09,10,25,0,0,0,0,0,0,0,0
2012-10,19,3,0,0,0,9,0,0,0,0
2012-11,29,6,0,0,0,1,0,0,0,0
2012-12,14,44,0,0,0,0,0,0,0,0
2013-01,22,10,0,0,0,0,0,0,0,0
2013-02,7,39,0,0,0,0,0,0,0,0
2013-03,22,67,0,0,0,0,0,0,0,0
2013-04,26,38,0,0,0,0,0,0,0,0
2013-05,55,17,0,0,0,0,0,0,0,0
2013-06,42,66,0,0,0,21,0,0,0,0
2013-07,49,223,0,0,0,30,0,0,0,0
2013-08,59,52,0,0,0,26,0,0,0,0
2013-09,28,50,0,0,0,0,0,0,2,0
2013-10,27,14,0,0,0,0,0,0,0,0
2013-11,23,13,0,0,0,108,0,0,0,0
2013-12,18,18,0,4,0,0,0,0,0,0
2014-01,9,36,0,12,0,7,0,0,0,0
2014-02,21,38,0,14,0,2,0,0,0,0
2014-03,13,35,0,0,0,0,0,0,0,0
2014-04,28,6,0,0,0,0,0,0,0,0
2014-05,35,2,0,0,0,1,0,0,2,0
2014-06,56,49,0,2,0,73,0,0,0,0
2014-07,84,98,0,12,0,37,0,0,0,0
2014-08,67,38,0,4,0,43,0,0,0,0
2014-09,73,72,0,20,0,21,2,0,0,0
2014-10,89,77,0,24,0,27,0,0,0,0
2014-11,78,199,0,19,0,44,0,0,0,0
2014-12,49,37,0,10,57,9,0,0,0,0
2015-01,55,9,0,0,47,3,0,4,0,0
2015-02,51,27,1,0,0,19,0,0,0,0
2015-03,91,10,7,0,65,3,0,0,0,0
2015-04,85,13,2,0,14,1,0,0,0,0
2015-05,107,23,0,0,13,60,24,0,0,0
2015-06,153,118,0,0,0,207,0,0,0,0
2015-07,218,37,1,0,0,313,0,0,0,0
2015-08,199,12,0,0,0,396,0,0,0,0
2015-09,149,32,0,0,34,155,40,0,0,0
2015-10,169,62,0,0,0,70,6,0,0,0
2015-11,126,18,1,0,0,29,0,0,0,0
2015-12,95,32,0,0,121,1,14,0,0,0
2016-01,159,2,0,0,84,3,0,0,0,0
2016-02,116,127,3,0,128,0,0,0,0,1
2016-03,211,3,6,2,0,1,0,1,0,0
2016-04,204,7,0,0,0,1,0,0,0,0
2016-05,212,26,2,2,52,3,0,4,0,0
2016-06,329,42,5,0,0,107,0,3,0,1
2016-07,403,13,0,14,0,63,0,7,8,0
2016-08,386,2,5,4,0,130,0,5,0,0
2016-09,265,4,1,0,0,59,0,14,0,0
2016-10,203,11,3,0,0,13,0,16,0,0
2016-11,209,10,2,4,0,4,0,14,0,0
2016-12,148,67,3,2,0,1,0,8,0,0
2017-01,152,21,1,0,0,13,0,16,0,0
2017-02,137,31,2,0,2,3,0,11,0,3
2017-03,205,51,4,30,4,1,0,6,0,1
2017-04,272,26,0,0,0,8,0,8,0,0
2017-05,283,48,5,2,0,19,26,7,0,0
2017-06,367,9,2,0,0,17,68,6,0,0
2017-07,501,53,0,35,0,1,0,7,0,0
2017-08,520,126,0,41,0,40,0,10,0,0
2017-09,416,108,0,0,0,5,0,8,0,1
2017-10,352,31,2,0,0,2,0,9,0,0
2017-11,299,86,0,0,0,0,0,12,0,0
2017-12,250,13,2,0,0,3,0,4,0,0
2018-01,296,104,0,0,0,75,0,10,0,0
2018-02,219,95,0,0,0,33,0,9,0,0
2018-03,402,93,0,0,0,34,0,12,0,0
2018-04,480,75,0,0,2,16,0,7,0,0
2018-05,567,62,1,0,0,192,180,7,0,9
2018-06,779,53,0,0,0,125,0,7,0,7
2018-07,988,80,0,2,0,38,0,11,0,5
2018-08,873,110,0,2,0,58,0,11,0,89
2018-09,571,48,0,0,0,46,0,8,0,75
2018-10,601,47,0,0,0,17,0,10,0,0
2018-11,444,51,0,0,0,35,0,17,0,18
2018-12,304,39,0,0,0,2,0,13,0,1
2019-01,381,228,2,0,0,36,0,13,0,2
2019-02,274,99,0,0,0,32,0,3,0,2
2019-03,562,152,0,0,0,35,0,8,0,10
2019-04,575,228,0,0,0,129,0,11,0,5
2019-05,582,102,0,0,0,70,2,12,0,6
2019-06,805,96,1,0,0,160,2,10,0,7
2019-07,953,169,2,0,0,73,6,8,0,11
2019-08,907,156,0,0,0,112,16,14,0,50
2019-09,641,171,0,0,0,190,0,18,1,118
2019-10,519,215,0,0,0,110,0,11,243,67
2019-11,550,112,4,0,0,35,0,13,183,31
2019-12,457,94,4,0,0,34,0,9,173,0
2020-01,446,210,4,0,0,79,0,7,266,7
2020-02,366,249,1,0,0,35,0,7,192,12
2020-03,282,109,0,0,0,26,0,5,164,0
2020-04,134,221,0,0,0,27,0,4,124,0
2020-05,256,42,0,0,0,37,0,3,123,0
2020-06,445,73,0,0,0,52,0,0,170,0
2020-07,577,111,2,0,0,46,0,2,178,12
2020-08,478,123,5,0,0,32,0,2,175,32
2020-09,475,141,4,0,0,27,0,2,230,1
2020-10,425,181,14,0,0,25,0,7,0,0
2020-11,247,237,33,0,0,38,0,8,0,0
2020-12,195,149,0,0,0,38,0,1,0,1
2021-01,217,141,4,0,0,135,0,0,0,1
2021-02,198,176,6,0,0,37,0,0,0,2
2021-03,286,169,0,0,0,49,0,0,0,0
2021-04,377,168,0,0,0,32,0,0,0,0
2021-05,474,361,26,0,0,40,0,0,0,0
2021-06,647,287,0,0,0,53,0,0,0,0
2021-07,959,259,0,0,0,67,0,0,0,0
2021-08,810,361,0,0,0,43,0,0,0,0
2021-09,547,199,0,0,0,63,0,0,0,0
2021-10,499,262,0,0,0,26,0,0,0,2
2021-11,423,266,0,0,0,33,0,0,0,0
2021-12,314,176,0,0,0,32,0,0,0,1
2022-01,268,241,0,0,0,12,0,0,0,1
2022-02,263,185,0,0,0,0,0,0,0,0
2022-03,385,212,0,0,0,0,0,0,0,0
2022-04,471,192,0,0,0,0,0,0,0,0
2022-05,609,162,0,0,0,0,0,0,0,0
2022-06,768,190,0,0,0,3,0,0,0,0
2022-07,815,190,0,0,0,0,0,0,0,0
2022-08,726,180,0,0,0,0,0,0,0,0
2022-09,598,192,0,0,0,0,0,0,0,1
2022-10,562,226,0,0,0,0,0,0,0,0
2022-11,460,210,0,0,0,0,0,0,0,0
2022-12,341,194,0,0,0,0,0,0,0,0
2023-01,131,171,0,0,0,11,0,0,0,0
2023-02,3,160,0,0,0,0,0,0,0,0
2023-03,1,143,0,0,0,1,0,0,0,0
2023-04,3,154,0,0,0,1,0,0,0,0
2023-05,3,314,0,0,0,1,0,0,0,0
2023-06,4,145,0,0,0,1,0,0,0,0
2023-07,2,153,0,0,0,17,0,0,0,0
2023-08,6,70,0,0,0,13,0,0,0,0
2023-09,7,49,0,0,0,1,0,0,0,0
2023-10,12,35,0,0,0,2,0,0,0,0
2023-11,6,30,0,0,0,3,0,0,0,0
2023-12,0,3,0,0,0,0,0,0,0,0
